"aim_bc_texture_1"
{
	"total"
	{
		"total"	"28"
	}
	"points"
	{
		"1"		"-1379.041504,-21.404573,-593.791748"
		"2"		"-1372.424316,469.588806,-618.858887"
		"3"		"-1422.995972,941.522888,-623.965027"
		"4"		"-1112.704956,1319.956787,-623.494751"
		"5"		"-709.555847,1346.179199,-619.235168"
		"6"		"-205.501282,1422.360962,-632.134277"
		"7"		"200.968491,1459.911987,-620.203186"
		"8"		"484.211670,1281.653076,-636.700928"
		"9"		"1161.627075,1241.504150,-638.102539"
		"10"		"1366.595703,876.104065,-653.450134"
		"11"		"1374.864014,498.772247,-638.026306"
		"12"		"1457.550171,-1.649406,-653.133179"
		"13"		"1400.019287,-273.772278,-656.612854"
		"14"		"1428.249756,-590.741516,-656.348633"
		"15"		"1166.770142,-1211.075684,-649.233398"
		"16"		"724.099365,-1202.858154,-656.969910"
		"17"		"132.696365,-1306.383545,-657.068359"
		"18"		"-414.294495,-1472.519653,-633.467163"
		"19"		"-668.270935,-1257.833496,-651.234741"
		"20"		"-843.226624,-1365.473145,-652.932007"
		"21"		"-1160.589966,-909.558899,-640.967041"
		"22"		"-1275.822388,-560.938538,-644.776978"
		"23"		"-364.097015,-53.934238,-15.590009"
		"24"		"81.237511,397.836914,18.351999"
		"25"		"1574.739990,134.809723,-159.190552"
		"26"		"-133.017303,-1628.007690,-161.331314"
		"27"		"-1620.128906,127.758804,-170.854019"
		"28"		"-66.563171,1623.750244,-173.189423"
	}
}
