"aim_map_usp"
{
	"total"
	{
		"total"	"31"
	}
	"points"
	{
		"1"		"1280.016724,-1359.997437,0.031250"
		"2"		"1407.968750,-976.031250,0.031250"
		"3"		"1215.994873,-1359.968750,0.031250"
		"4"		"720.005615,-1359.968750,0.031250"
		"5"		"528.031250,-976.031250,0.031250"
		"6"		"655.968750,-1359.968750,0.031250"
		"7"		"528.031250,-399.968750,0.031250"
		"8"		"655.968750,-16.031250,0.031250"
		"9"		"720.003540,-16.031250,0.031250"
		"10"		"1215.968750,-16.031250,0.031250"
		"11"		"1407.968750,-399.968750,0.031250"
		"12"		"1280.031250,-16.031250,0.031250"
		"13"		"1372.547241,-911.968750,0.031250"
		"14"		"581.061768,-464.031250,0.031250"
		"15"		"463.968750,-296.547699,0.031250"
		"16"		"1472.031250,-1040.743408,0.031250"
		"17"		"1512.608154,-289.390198,112.031250"
		"18"		"439.006775,-1133.406616,112.031250"
		"19"		"1737.844849,-974.660645,0.031250"
		"20"		"244.142120,-384.695831,28.899008"
		"21"		"227.872238,-1110.262817,0.031250"
		"22"		"1699.449829,-277.430176,0.031250"
		"23"		"799.968750,-533.377319,0.031250"
		"24"		"590.527954,-911.992126,64.031250"
		"25"		"864.031250,-546.533508,0.031250"
		"26"		"1071.968750,-847.236328,0.031250"
		"27"		"463.968750,-1016.263611,0.031250"
		"28"		"1349.254272,-464.031250,0.031250"
		"29"		"1136.031250,-833.630066,0.031250"
		"30"		"1515.933960,-773.423096,112.031250"
		"31"		"426.208038,-631.698303,112.031250"
	}
}
