"gg_poolday_reunion_lite_beta"
{
	"total"
	{
		"total"	"22"
	}
	"points"
	{
		"1"		"628.993652,-70.034348,-333.968750"
		"2"		"283.179565,-98.060760,-333.968750"
		"3"		"488.634613,192.194351,-333.968750"
		"4"		"95.543488,-111.136604,-333.968750"
		"5"		"-55.223591,84.155556,-333.968750"
		"6"		"-288.304199,-95.748764,-333.968750"
		"7"		"-663.413513,-54.160469,-333.968750"
		"8"		"-658.658691,117.272736,-333.968750"
		"9"		"-755.008423,614.623596,-333.968750"
		"10"		"-615.795837,989.491821,-333.968750"
		"11"		"-705.830566,1276.470825,-333.968750"
		"12"		"-379.150421,1157.160278,-333.968750"
		"13"		"-374.057831,659.109497,-461.968750"
		"14"		"-407.795654,1370.837158,-333.968750"
		"15"		"-186.433975,1287.484497,-333.968750"
		"16"		"47.537251,1418.858276,-333.968750"
		"17"		"8.946719,1073.624756,-333.968750"
		"18"		"416.550079,1306.990112,-333.968750"
		"19"		"737.968750,1039.999268,-333.968750"
		"20"		"661.834290,170.731110,-333.968750"
		"21"		"338.397369,1033.243286,-333.968750"
		"22"		"-254.998871,582.268250,-325.976318"
	}
}
