"de_tides"
{
	"total"
	{
		"total"	"26"
	}
	"points"
	{
		"1"		"-383.435669,-1153.543823,0.031250"
		"2"		"-940.850769,-916.368469,0.031250"
		"3"		"-1351.158325,-383.720001,-15.968750"
		"4"		"-733.261047,24.315104,-127.968750"
		"5"		"-1133.028198,359.332367,0.031250"
		"6"		"498.204407,761.359375,-127.968750"
		"7"		"866.617615,-143.739761,-123.337204"
		"8"		"-216.971451,-441.216919,0.031250"
		"9"		"181.517441,156.764282,0.031250"
		"10"		"1116.529419,-1406.755371,-63.968750"
		"11"		"1359.968750,-1727.288696,0.031250"
		"12"		"710.205627,-1673.922119,0.031250"
		"13"		"-17.597580,-1424.786255,16.031250"
		"14"		"-1097.216309,-433.930573,-136.245010"
		"15"		"-484.530396,31.968750,16.031250"
		"16"		"602.957520,417.185120,-112.397751"
		"17"		"-1196.736206,1154.438965,-92.510910"
		"18"		"-1527.725708,-193.296661,17.278732"
		"19"		"-488.573822,-536.125732,-15.968750"
		"20"		"-1543.995605,-1300.031250,-127.968750"
		"21"		"-432.031250,-931.485229,16.031250"
		"22"		"243.102570,-1816.834106,0.031250"
		"23"		"-1666.610229,-820.440247,-109.386246"
		"24"		"-1182.393921,-1769.470581,0.031250"
		"25"		"-454.693024,-1676.320435,0.031250"
		"26"		"526.396423,-635.526917,-104.363457"
	}
}
