"fy_recoil_arena1_beta3"
{
	"total"
	{
		"total"	"31"
	}
	"points"
	{
		"1"		"729.643372,-390.651703,-3.968750"
		"2"		"522.454041,-704.466553,-3.968750"
		"3"		"991.329102,-1229.377197,-3.968750"
		"4"		"935.949524,-723.920593,-3.968750"
		"5"		"802.673340,-1225.542847,-131.968750"
		"6"		"1069.158081,-1117.333862,-131.968750"
		"7"		"863.152283,-893.719543,-131.968750"
		"8"		"844.424622,-554.032959,-131.968750"
		"9"		"674.841187,-715.549377,-125.968750"
		"10"		"328.505463,-402.341400,-131.968750"
		"11"		"23.427647,-244.201492,-131.968750"
		"12"		"982.911499,-197.593643,-131.968750"
		"13"		"345.067902,-1078.552734,-131.968750"
		"14"		"8.258861,-1207.123779,-131.968750"
		"15"		"-334.337219,-1106.061035,-131.968750"
		"16"		"-1025.627075,-1196.648438,-131.968750"
		"17"		"-844.288818,-892.644470,-131.968750"
		"18"		"-666.628845,-708.810547,-125.968750"
		"19"		"-844.169128,-546.327576,-131.968750"
		"20"		"-1493.942627,-733.203735,-131.968750"
		"21"		"-1359.889038,-639.317871,-131.968750"
		"22"		"-1336.246582,-806.869080,-131.968750"
		"23"		"-1020.526184,-225.124756,-131.968750"
		"24"		"-254.330002,-92.039452,-131.968750"
		"25"		"1465.261475,-709.294922,-131.968750"
		"26"		"1287.059204,-600.018616,-131.968750"
		"27"		"1279.335327,-848.135193,-131.968750"
		"28"		"-573.245911,-727.359009,0.031250"
		"29"		"-1035.192383,-242.955414,-3.968750"
		"30"		"-1093.390625,-1139.971191,-3.968750"
		"31"		"-41.382332,-717.113098,-43.968750"
	}
}
