"gg_fy_snow"
{
	"total"
	{
		"total"	"23"
	}
	"points"
	{
		"1"		"-1204.293213,536.031250,-255.968750"
		"2"		"-1647.968750,720.863586,-231.968750"
		"3"		"-1172.479736,1034.449097,-199.968750"
		"4"		"-1513.453613,792.031250,-255.968750"
		"5"		"-1127.114746,1510.899780,-207.968750"
		"6"		"-786.167725,1517.522461,-207.968750"
		"7"		"111.968750,1328.005493,-255.968750"
		"8"		"111.841507,1072.031250,-255.968750"
		"9"		"-367.968750,1048.140869,-199.968750"
		"10"		"96.331322,800.833923,-231.968750"
		"11"		"-367.968750,592.877380,-191.968750"
		"12"		"-815.968750,513.372070,-255.968750"
		"13"		"-549.506287,811.423950,-255.968750"
		"14"		"-1002.388489,735.175964,-255.968750"
		"15"		"-797.938843,990.157104,-255.968750"
		"16"		"-1646.852905,1328.031250,-255.968750"
		"17"		"-1647.968750,1072.031250,-255.968750"
		"18"		"110.568291,738.526306,-231.968750"
		"19"		"111.958611,463.968750,-255.968750"
		"20"		"-388.690216,33.175049,-207.968750"
		"21"		"-788.287781,27.280933,-207.968750"
		"22"		"-1216.296997,16.031250,-219.968750"
		"23"		"-1647.987183,207.968750,-255.968750"
	}
}
